timestamp,src_ip,src_port,dst_ip,dst_port,protocol,bytes
2025-10-26T08:38:34+00:00,10.1.5.83,2888,104.18.3.201,443,6,25976
2025-10-26T09:40:40+00:00,10.1.5.120,13142,104.18.3.201,443,6,32751
2025-10-26T10:25:08+00:00,10.1.5.170,11338,151.101.193.140,443,6,38004
2025-10-26T08:51:17+00:00,10.1.5.171,8881,151.101.193.140,443,6,8708
2025-10-26T09:24:51+00:00,10.1.5.96,23102,151.101.193.140,443,6,11635
2025-10-26T08:57:45+00:00,10.1.5.195,44825,104.18.3.201,443,6,15716
2025-10-26T08:32:32+00:00,10.1.5.65,60836,172.217.14.228,443,6,22450
2025-10-26T10:28:40+00:00,10.1.5.93,34889,172.217.14.228,443,6,23701
2025-10-26T09:11:35+00:00,10.1.5.153,22049,104.18.3.201,443,6,20522
2025-10-26T08:48:50+00:00,10.1.5.138,40432,104.18.3.201,443,6,32177
2025-10-26T09:54:32+00:00,10.1.5.70,54076,104.18.3.201,443,6,31741
2025-10-26T09:56:50+00:00,10.1.5.92,60712,172.217.14.228,443,6,31893
2025-10-26T09:53:02+00:00,10.1.5.71,58897,151.101.193.140,443,6,25166
2025-10-26T08:43:33+00:00,10.1.5.169,31959,151.101.193.140,443,6,32807
2025-10-26T10:00:54+00:00,10.1.5.164,28213,104.18.3.201,443,6,28003
2025-10-26T10:00:05+00:00,10.1.5.113,24942,104.18.3.201,443,6,14569
2025-10-26T09:21:36+00:00,10.1.5.71,60652,172.217.14.228,443,6,4361
2025-10-26T09:20:47+00:00,10.1.5.75,28776,151.101.193.140,443,6,1938
2025-10-26T08:54:25+00:00,10.1.5.159,40148,104.18.3.201,443,6,38237
2025-10-26T10:02:10+00:00,10.1.5.114,47079,172.217.14.228,443,6,32278
2025-10-26T10:01:01+00:00,10.1.5.158,24087,151.101.193.140,443,6,11043
2025-10-26T08:46:08+00:00,10.1.5.158,53644,104.18.3.201,443,6,894
2025-10-26T09:24:01+00:00,10.1.5.147,42811,151.101.193.140,443,6,32150
2025-10-26T08:46:21+00:00,10.1.5.106,31562,172.217.14.228,443,6,19840
2025-10-26T10:14:26+00:00,10.1.5.189,46471,151.101.193.140,443,6,2014
2025-10-26T10:25:03+00:00,10.1.5.96,4270,104.18.3.201,443,6,30885
2025-10-26T10:12:47+00:00,10.1.5.107,22165,172.217.14.228,443,6,9688
2025-10-26T09:48:54+00:00,10.1.5.102,31188,172.217.14.228,443,6,1444
2025-10-26T08:33:42+00:00,10.1.5.119,17189,104.18.3.201,443,6,23477
2025-10-26T10:16:07+00:00,10.1.5.97,45199,104.18.3.201,443,6,38300
2025-10-26T10:11:52+00:00,10.1.5.68,11104,151.101.193.140,443,6,37998
