timestamp,src_ip,dst_ip,dst_port,protocol,bytes
2025-10-26T11:00:02+00:00,10.1.5.121,104.18.6.202,80,17,11291
2025-10-26T11:00:02+00:00,10.1.5.108,151.101.193.140,22,17,381
2025-10-26T11:00:06+00:00,10.1.5.108,23.45.67.89,22,6,12660
2025-10-26T11:00:06+00:00,10.1.5.33,104.18.5.201,8080,6,11678
2025-10-26T11:00:06+00:00,10.1.5.97,151.101.193.140,8080,6,12555
2025-10-26T11:00:07+00:00,10.1.5.121,104.18.7.203,443,17,19482
2025-10-26T11:00:09+00:00,10.1.5.97,104.18.6.202,443,17,13885
2025-10-26T11:00:09+00:00,10.1.5.108,104.18.6.202,22,6,14639
2025-10-26T11:00:09+00:00,10.1.5.55,104.18.7.203,22,17,4925
2025-10-26T11:00:10+00:00,10.1.5.108,23.45.67.89,443,17,7192
2025-10-26T11:00:10+00:00,10.1.5.44,104.18.5.201,443,17,7958
2025-10-26T11:00:12+00:00,10.1.5.33,104.18.7.203,53,17,6226
2025-10-26T11:00:13+00:00,10.1.5.108,151.101.193.140,53,17,16491
2025-10-26T11:00:14+00:00,10.1.5.108,104.18.6.202,443,6,17546
2025-10-26T11:00:14+00:00,10.1.5.55,151.101.193.140,8080,6,8732
2025-10-26T11:00:15+00:00,10.1.5.97,151.101.193.140,443,17,8748
2025-10-26T11:00:16+00:00,10.1.5.33,172.217.14.228,443,17,19444
2025-10-26T11:00:17+00:00,10.1.5.55,23.45.67.89,53,6,2160
2025-10-26T11:00:19+00:00,10.1.5.55,23.45.67.89,53,17,5539
2025-10-26T11:00:19+00:00,10.1.5.55,151.101.193.140,8443,17,3590
2025-10-26T11:00:20+00:00,10.1.5.97,104.18.7.203,8443,6,14312
2025-10-26T11:00:21+00:00,10.1.5.121,23.45.67.89,80,6,8309
2025-10-26T11:00:21+00:00,10.1.5.97,23.45.67.89,22,17,14382
2025-10-26T11:00:22+00:00,10.1.5.33,23.45.67.89,53,6,12998
2025-10-26T11:00:23+00:00,10.1.5.121,172.217.14.228,80,6,10512
2025-10-26T11:00:27+00:00,10.1.5.121,104.18.5.201,8443,17,5396
2025-10-26T11:00:28+00:00,10.1.5.108,23.45.67.89,22,6,9874
2025-10-26T11:00:31+00:00,10.1.5.33,104.18.6.202,80,6,18652
2025-10-26T11:00:37+00:00,10.1.5.97,172.217.14.228,8080,17,3719
2025-10-26T11:00:39+00:00,10.1.5.97,104.18.5.201,8443,17,2192
2025-10-26T11:00:40+00:00,10.1.5.121,172.217.14.228,53,17,16351
2025-10-26T11:00:40+00:00,10.1.5.97,104.18.7.203,22,6,5635
2025-10-26T11:00:40+00:00,10.1.5.108,23.45.67.89,8443,6,5560
2025-10-26T11:00:41+00:00,10.1.5.108,23.45.67.89,8443,6,8643
2025-10-26T11:00:41+00:00,10.1.5.55,104.18.5.201,80,6,1075
2025-10-26T11:00:41+00:00,10.1.5.55,104.18.5.201,22,17,2783
2025-10-26T11:00:42+00:00,10.1.5.108,104.18.7.203,8080,6,6344
2025-10-26T11:00:43+00:00,10.1.5.121,172.217.14.228,8080,6,2903
2025-10-26T11:00:43+00:00,10.1.5.121,172.217.14.228,8443,6,10480
2025-10-26T11:00:44+00:00,10.1.5.55,172.217.14.228,22,17,3058
2025-10-26T11:00:45+00:00,10.1.5.33,151.101.193.140,8443,6,5416
2025-10-26T11:00:46+00:00,10.1.5.108,172.217.14.228,22,17,17748
2025-10-26T11:00:46+00:00,10.1.5.108,151.101.193.140,8443,6,8788
2025-10-26T11:00:49+00:00,10.1.5.121,23.45.67.89,80,17,10502
2025-10-26T11:00:49+00:00,10.1.5.44,104.18.6.202,8443,6,5143
2025-10-26T11:00:50+00:00,10.1.5.55,151.101.193.140,22,6,4081
2025-10-26T11:00:50+00:00,10.1.5.33,172.217.14.228,443,6,16773
2025-10-26T11:00:51+00:00,10.1.5.55,23.45.67.89,80,17,18146
2025-10-26T11:00:54+00:00,10.1.5.108,172.217.14.228,8443,17,6906
2025-10-26T11:00:55+00:00,10.1.5.44,104.18.7.203,80,6,16912
2025-10-26T11:00:56+00:00,10.1.5.97,104.18.5.201,53,6,15182
2025-10-26T11:00:57+00:00,10.1.5.55,151.101.193.140,22,17,3921
2025-10-26T11:01:00+00:00,10.1.5.44,104.18.7.203,22,17,1624
2025-10-26T11:01:01+00:00,10.1.5.108,104.18.5.201,80,17,483
2025-10-26T11:01:01+00:00,10.1.5.121,23.45.67.89,80,17,17291
2025-10-26T11:01:02+00:00,10.1.5.44,23.45.67.89,53,6,8193
2025-10-26T11:01:03+00:00,10.1.5.108,151.101.193.140,22,17,5444
2025-10-26T11:01:04+00:00,10.1.5.97,104.18.5.201,8080,6,5829
2025-10-26T11:01:04+00:00,10.1.5.33,104.18.5.201,53,17,18683
2025-10-26T11:01:04+00:00,10.1.5.44,104.18.6.202,8080,6,12845
2025-10-26T11:01:04+00:00,10.1.5.44,104.18.5.201,53,17,7181
2025-10-26T11:01:05+00:00,10.1.5.121,104.18.5.201,8080,17,17815
2025-10-26T11:01:06+00:00,10.1.5.108,172.217.14.228,53,6,16875
2025-10-26T11:01:07+00:00,10.1.5.44,104.18.6.202,80,17,18125
2025-10-26T11:01:08+00:00,10.1.5.33,104.18.7.203,8443,6,15349
2025-10-26T11:01:09+00:00,10.1.5.44,104.18.5.201,22,6,17882
2025-10-26T11:01:12+00:00,10.1.5.121,172.217.14.228,80,17,16151
2025-10-26T11:01:14+00:00,10.1.5.97,151.101.193.140,80,6,5015
2025-10-26T11:01:17+00:00,10.1.5.55,104.18.6.202,8443,17,12824
2025-10-26T11:01:18+00:00,10.1.5.44,104.18.6.202,53,17,9222
2025-10-26T11:01:19+00:00,10.1.5.55,104.18.5.201,80,17,4177
2025-10-26T11:01:19+00:00,10.1.5.44,104.18.6.202,53,17,16194
2025-10-26T11:01:20+00:00,10.1.5.97,172.217.14.228,53,17,17532
2025-10-26T11:01:21+00:00,10.1.5.97,23.45.67.89,22,17,581
2025-10-26T11:01:22+00:00,10.1.5.97,151.101.193.140,53,17,17359
2025-10-26T11:01:23+00:00,10.1.5.97,104.18.7.203,80,17,16543
2025-10-26T11:01:27+00:00,10.1.5.55,151.101.193.140,8443,6,14077
2025-10-26T11:01:28+00:00,10.1.5.44,23.45.67.89,8443,17,13230
2025-10-26T11:01:28+00:00,10.1.5.97,104.18.6.202,80,6,12227
2025-10-26T11:01:28+00:00,10.1.5.55,104.18.5.201,22,6,8183
2025-10-26T11:01:29+00:00,10.1.5.97,104.18.7.203,443,17,16303
2025-10-26T11:01:30+00:00,10.1.5.121,104.18.6.202,8080,17,6010
2025-10-26T11:01:30+00:00,10.1.5.55,172.217.14.228,22,6,13771
2025-10-26T11:01:32+00:00,10.1.5.108,104.18.6.202,8080,17,1840
2025-10-26T11:01:35+00:00,10.1.5.44,104.18.6.202,443,17,12535
2025-10-26T11:01:36+00:00,10.1.5.97,151.101.193.140,53,6,14157
2025-10-26T11:01:38+00:00,10.1.5.108,104.18.7.203,8443,17,18919
2025-10-26T11:01:40+00:00,10.1.5.44,172.217.14.228,53,17,11333
2025-10-26T11:01:41+00:00,10.1.5.97,23.45.67.89,8080,6,8776
2025-10-26T11:01:41+00:00,10.1.5.44,104.18.6.202,443,17,3019
2025-10-26T11:01:42+00:00,10.1.5.121,104.18.5.201,8443,6,1538
2025-10-26T11:01:42+00:00,10.1.5.33,104.18.5.201,22,6,14234
